Model: gpt2
Planes scanned: 864  (layers=0..11, heads=0..11, SV-pairs from top-4)
Alphas: [3.0, 10.0]  n_angles=12  prompts=3
Thresholds: lin>0.95  dphi<10.0  amp_slope>0.2
Random-plane null: 432 planes (3 seeds x 144 heads) -- 9 pass (2.1%)
Null amp_slope: mean=0.046 p95=0.108 max=1.224
PASSED planes: 16 / 864 (1.9%)

rank   L   H      SV   A_lo   A_hi  slope     R2   dphi  phi_hi
----------------------------------------------------------------------
 11   4 (1,3)   0.14   0.39  0.039  0.996   13.4    no
 11   0 (1,2)   0.05   0.39  0.039  0.972  146.8    no
  5   8 (1,2)   0.08   0.39  0.039  0.992    0.3    no
  5   8 (0,1)   0.08   0.39  0.039  0.991   29.6    no
 10   4 (0,1)   0.11   0.39  0.039  1.000   11.8    no
  6   6 (0,1)   0.08   0.38  0.038  0.992  118.4    no
  4   4 (1,3)   0.15   0.38  0.038  0.993   20.9    no
  8   3 (2,3)   0.08   0.38  0.038  0.991    6.3    no
  8   9 (1,3)   0.02   0.38  0.038  0.949    3.4    no
  8   2 (0,3)   0.10   0.38  0.038  0.998   13.5    no
 11   0 (0,1)   0.18   0.38  0.038  0.975  179.1    no
  7   2 (0,3)   0.11   0.38  0.038  1.000    2.9    no
  4   2 (0,1)   0.16   0.38  0.038  0.989  145.5    no
  5   1 (1,3)   0.10   0.38  0.038  0.999    6.2    no
 10   0 (0,1)   0.09   0.37  0.037  0.997    2.2    no
 11   5 (2,3)   0.12   0.37  0.037  0.999    6.4    no
  0   3 (0,3)   0.14   0.37  0.037  0.993    4.7    no
 11   4 (0,1)   0.23   0.37  0.037  0.932   12.0    no
 10   8 (1,3)   0.09   0.37  0.037  0.998   11.2    no
 11   3 (0,1)   0.13   0.37  0.037  0.998    1.4    no
  4   5 (0,2)   0.10   0.37  0.037  0.999    8.7    no
  6  10 (0,2)   0.07   0.37  0.037  0.990   52.4    no
  4   5 (0,3)   0.10   0.36  0.036  1.000   10.5    no
  6   0 (2,3)   0.07   0.36  0.036  0.989  178.7    no
  8   5 (0,3)   0.10   0.36  0.036  0.999   13.0    no
  5   2 (2,3)   0.09   0.36  0.036  0.998   20.3    no
  5   0 (0,1)   0.14   0.36  0.036  0.994   19.1    no
  8   3 (0,2)   0.06   0.36  0.036  0.987   10.8    no
  0  11 (0,3)   0.19   0.36  0.036  0.958   85.8    no
  3   4 (1,2)   0.02   0.36  0.036  0.950    9.1    no
  8   0 (1,3)   0.11   0.36  0.036  1.000   24.4    no
 11   0 (0,3)   0.17   0.36  0.036  0.976  159.2    no
  5   4 (2,3)   0.18   0.36  0.036  0.972   19.7    no
 10   0 (0,3)   0.08   0.36  0.036  0.995    2.0    no
 10   8 (1,2)   0.08   0.36  0.036  0.996    5.0    no
  8   1 (0,3)   0.12   0.36  0.036  0.999    0.0    no
  6   1 (1,2)   0.10   0.35  0.035  1.000   11.5    no
  5   8 (2,3)   0.14   0.35  0.035  0.994   16.4    no
  7  11 (0,3)   0.05   0.35  0.035  0.980   12.9    no
 11   4 (0,3)   0.18   0.35  0.035  0.969    8.6    no
  9   6 (1,3)   0.10   0.35  0.035  0.999   15.2    no
  5  11 (2,3)   0.19   0.35  0.035  0.953   73.3    no
  7   7 (1,2)   0.19   0.34  0.034  0.955    8.7    no
  2   1 (2,3)   0.11   0.34  0.034  0.999    1.4    no
  0  10 (1,2)   0.17   0.34  0.034  0.974   46.6    no
  4   4 (2,3)   0.10   0.34  0.034  1.000   18.3    no
 11   0 (2,3)   0.04   0.34  0.034  0.969  114.7    no
 10   4 (1,2)   0.08   0.34  0.034  0.998    2.1    no
 10   4 (2,3)   0.10   0.34  0.034  1.000    2.9    no
  2   1 (0,1)   0.02   0.34  0.034  0.944    4.3    no
  2   6 (1,2)   0.09   0.34  0.034  0.999   29.3    no
  8   9 (0,3)   0.07   0.34  0.034  0.995    5.8    no
  4   6 (1,2)   0.11   0.34  0.034  1.000    1.1    no
  5   4 (0,2)   0.10   0.34  0.034  1.000    5.0    no
 10   0 (1,3)   0.08   0.34  0.034  0.997    7.0    no
  3   4 (0,2)   0.08   0.34  0.034  0.998   66.7    no
