file,condition,alpha,domain,metric,value,n,k_inferred,wilson_lo,wilson_hi,boot_lo,boot_hi,half_width
crowspairs_routed_llama_snr0.10.csv,routed_calib,3.44941179605133,profession,ss,69.76744186046511,172,120,62.53372898910064,76.1374697464261,62.7906976744186,76.74418604651163,6.976744186046513
crowspairs_routed_llama_snr0.10.csv,routed_calib,4.055375961538294,gender,ss,55.343511450381676,262,145,49.28977330312822,61.242820117104834,49.61832061068702,61.45038167938931,5.916030534351144
crowspairs_routed_llama_snr0.10.csv,routed_calib,4.662501841651136,religion,ss,72.38095238095238,105,76,63.154206944486624,80.02786770725797,63.8095238095238,80.95238095238095,8.571428571428573
crowspairs_routed_llama_snr0.10.csv,routed_calib,-1.0,overall,ss,54.502369668246445,1055,575,51.4865884842809,57.48548181090835,51.56398104265403,57.44075829383887,2.9383886255924203
crowspairs_routed_llama_snr0.15.csv,baseline,0.0,race,ss,50.968992248062015,516,263,46.664472367826136,55.25919105499626,46.70542635658915,55.23255813953488,4.263565891472865
crowspairs_routed_llama_snr0.15.csv,baseline,0.0,profession,ss,66.86046511627907,172,115,59.52501144301894,73.45924630198914,59.883720930232556,73.83720930232558,6.97674418604651
crowspairs_routed_llama_snr0.15.csv,baseline,0.0,gender,ss,54.19847328244275,262,142,48.148277661592566,60.12733145430483,48.091603053435115,60.30534351145038,6.106870229007633
crowspairs_routed_llama_snr0.15.csv,baseline,0.0,religion,ss,74.28571428571429,105,78,65.173054142379,81.68409069249279,65.71428571428571,82.85714285714286,8.571428571428577
crowspairs_routed_llama_snr0.15.csv,baseline,0.0,overall,ss,56.682464454976305,1055,598,53.67350343134197,59.642937743623115,53.74407582938389,59.62085308056872,2.9383886255924168
crowspairs_routed_llama_snr0.15.csv,routed_calib,5.339611022335504,race,ss,42.82945736434109,516,221,38.62838377306998,47.13650689804435,38.759689922480625,47.093023255813954,4.166666666666664
crowspairs_routed_llama_snr0.15.csv,routed_calib,5.174117694076995,profession,ss,56.97674418604651,172,98,49.50481800540244,64.1438403718423,49.41860465116279,64.53488372093024,7.5581395348837255
crowspairs_routed_llama_snr0.15.csv,routed_calib,6.08306394230744,gender,ss,55.343511450381676,262,145,49.28977330312822,61.242820117104834,49.61832061068702,61.45038167938931,5.916030534351144
crowspairs_routed_llama_snr0.15.csv,routed_calib,6.993752762476704,religion,ss,72.38095238095238,105,76,63.154206944486624,80.02786770725797,63.8095238095238,80.95238095238095,8.571428571428573
crowspairs_routed_llama_snr0.15.csv,routed_calib,-1.0,overall,ss,51.18483412322275,1055,540,48.16974116514327,54.19132996516968,48.24644549763033,54.21800947867299,2.9857819905213283
crowspairs_routed_llama_snr0.20.csv,baseline,0.0,race,ss,50.968992248062015,516,263,46.664472367826136,55.25919105499626,46.70542635658915,55.23255813953488,4.263565891472865
crowspairs_routed_llama_snr0.20.csv,baseline,0.0,profession,ss,66.86046511627907,172,115,59.52501144301894,73.45924630198914,59.883720930232556,73.83720930232558,6.97674418604651
crowspairs_routed_llama_snr0.20.csv,baseline,0.0,gender,ss,54.19847328244275,262,142,48.148277661592566,60.12733145430483,48.091603053435115,60.30534351145038,6.106870229007633
crowspairs_routed_llama_snr0.20.csv,baseline,0.0,religion,ss,74.28571428571429,105,78,65.173054142379,81.68409069249279,65.71428571428571,82.85714285714286,8.571428571428577
crowspairs_routed_llama_snr0.20.csv,baseline,0.0,overall,ss,56.682464454976305,1055,598,53.67350343134197,59.642937743623115,53.74407582938389,59.62085308056872,2.9383886255924168
crowspairs_routed_llama_snr0.20.csv,routed_calib,7.119481363114006,race,ss,41.47286821705426,516,214,37.30021837354443,45.77154350561857,37.2093023255814,45.73643410852713,4.263565891472865
crowspairs_routed_llama_snr0.20.csv,routed_calib,6.89882359210266,profession,ss,51.74418604651163,172,89,44.32026034257564,59.09190425173556,44.18604651162791,59.30232558139535,7.558139534883722
crowspairs_routed_llama_snr0.20.csv,routed_calib,8.110751923076588,gender,ss,55.725190839694655,262,146,49.67097296103359,61.613948560644694,50.0,61.832061068702295,5.9160305343511475
